LogID,Timestamp,Approach,ServerID,ResponseTime,Utilization,TaskLoad,TotalTasks,AlgorithmUsed,SimulationID
1761249178028471,1761249178.0284708,ACO,Server-2,0.6715387273412438,16.94,16.94,1,ACO,
1761249178056535,1761249178.0565345,ACO,Server-3,0.6765299696260783,17.55,17.55,1,ACO,
1761249178087193,1761249178.0871928,ACO,Server-7,1.034238095878191,0.0,99.23,3,ACO,
1761249178116386,1761249178.1163857,ACO,Server-24,0.6022766208715578,21.12981716371093,15.91,2,ACO,
1761249178145341,1761249178.1453407,ACO,Server-1,0.8254909274459544,70.32548180942192,61.0,3,ACO,
1761249178174230,1761249178.1742296,ACO,Server-5,1.1491421028076676,92.11848129850196,80.97,2,ACO,
1761249178201128,1761249178.2011285,ACO,Server-21,0.8960694149865809,72.26790670718961,49.53,3,ACO,
1761249178228142,1761249178.2281415,ACO,Server-17,0.7919127896644477,53.48847521614227,43.26,3,ACO,
1761249178253795,1761249178.253795,ACO,Server-23,0.5809247759712194,18.6,18.6,1,ACO,
1761249178280652,1761249178.280652,ACO,Server-21,0.8873237208611781,47.39649772631798,10.81,4,ACO,
1761249178308441,1761249178.3084407,ACO,Server-25,0.5781631019168396,17.187034130680836,9.32,2,ACO,
1761249178337669,1761249178.3376694,ACO,Server-8,0.6345547251656187,21.99,21.99,1,ACO,
1761249178536561,1761249178.5365613,ACO,Server-13,0.8289209877345206,42.961965679694984,13.02,3,ACO,
1761249178569314,1761249178.5693138,ACO,Server-25,0.6249290955128174,32.288391432777104,20.01,3,ACO,
1761249178603939,1761249178.603939,ACO,Server-8,0.6826673376852506,23.44555009785999,10.44,2,ACO,
1761249178635811,1761249178.635811,ACO,Server-19,0.7935666640583395,46.70122476222734,30.1,3,ACO,
1761249178666480,1761249178.66648,ACO,Server-17,0.8192322937256717,37.816344372506364,14.16,4,ACO,
1761249178697998,1761249178.697998,ACO,Server-7,0.8899862587701034,6.16,6.16,4,ACO,
1761249178728874,1761249178.7288742,ACO,Server-16,0.6739743074265517,22.34,22.34,1,ACO,
1761249178759873,1761249178.7598734,ACO,Server-18,1.1052237962632496,93.56478007126304,52.55,4,ACO,
1761249178785323,1761249178.785323,ACO,Server-12,0.6424340225735035,22.326791850777752,5.11,4,ACO,
1761249178810294,1761249178.8102944,ACO,Server-10,1.0573974319480046,93.66129989211501,54.07,4,ACO,
1761249178838301,1761249178.8383007,ACO,Server-4,0.8526942809225757,46.725533064754686,23.16,2,ACO,
1761249178863573,1761249178.8635733,ACO,Server-3,0.6321787826280563,14.294943901314431,8.29,2,ACO,
1761249179031985,1761249179.031985,ACO,Server-8,0.8176986731724929,65.062888347741,48.84,3,ACO,
